PS D:\CS780\CS780-OBELIX-main\CS780-OBELIX-main> python train_d3qn_per.py --episodes 6000 --difficulty 2 --wall_obstacles --resume weights_d3qn.pth 
Device: cuda
Resumed from weights_d3qn.pth

Training D3QN-PER | episodes=6000 | walls=ON | difficulty=2
======================================================================
Ep    25/6000 | steps=   25000 | mean_r=  -5422.0 | success=  0.0% | loss=0.1287 | eps=0.498 | beta=0.403 | stuck=  22.2
Ep  2875/6000 | steps= 2825415 | mean_r= -20524.9 | success=  0.0% | loss=0.0071 | eps=0.274 | beta=0.739 | stuck=  97.8
Ep  2900/6000 | steps= 2850415 | mean_r= -10565.1 | success=  0.0% | loss=0.0068 | eps=0.272 | beta=0.742 | stuck=  47.9
Ep  2925/6000 | steps= 2875415 | mean_r=  -6463.1 | success=  0.0% | loss=0.0059 | eps=0.270 | beta=0.745 | stuck=  27.4
Ep  2950/6000 | steps= 2900415 | mean_r= -12182.5 | success=  0.0% | loss=0.0053 | eps=0.268 | beta=0.748 | stuck=  56.1
Ep  2975/6000 | steps= 2925415 | mean_r= -27349.1 | success=  0.0% | loss=0.0055 | eps=0.266 | beta=0.751 | stuck= 131.8
Ep  3000/6000 | steps= 2950415 | mean_r= -16683.8 | success=  0.0% | loss=0.0055 | eps=0.264 | beta=0.754 | stuck=  78.5
Ep  3025/6000 | steps= 2975402 | mean_r= -16859.7 | success=  4.0% | loss=0.0055 | eps=0.262 | beta=0.757 | stuck=  79.8
Ep  3050/6000 | steps= 3000402 | mean_r= -20024.1 | success=  0.0% | loss=0.0053 | eps=0.260 | beta=0.760 | stuck=  95.3
Ep  3075/6000 | steps= 3025402 | mean_r= -18809.9 | success=  0.0% | loss=0.0051 | eps=0.258 | beta=0.763 | stuck=  89.2
Ep  3100/6000 | steps= 3050402 | mean_r= -14279.6 | success=  0.0% | loss=0.0048 | eps=0.256 | beta=0.766 | stuck=  66.6
Ep  3125/6000 | steps= 3075402 | mean_r= -14837.6 | success=  0.0% | loss=0.0048 | eps=0.254 | beta=0.769 | stuck=  69.3
Ep  3150/6000 | steps= 3100402 | mean_r= -28658.8 | success=  0.0% | loss=0.0044 | eps=0.252 | beta=0.772 | stuck= 138.4
Ep  3175/6000 | steps= 3124876 | mean_r= -17501.5 | success=  4.0% | loss=0.0040 | eps=0.250 | beta=0.775 | stuck=  83.2
Ep  3200/6000 | steps= 3149876 | mean_r= -25736.3 | success=  0.0% | loss=0.0037 | eps=0.248 | beta=0.778 | stuck= 123.8
Ep  3225/6000 | steps= 3174876 | mean_r= -10283.6 | success=  0.0% | loss=0.0035 | eps=0.246 | beta=0.781 | stuck=  46.5
Ep  3250/6000 | steps= 3199876 | mean_r=  -8927.6 | success=  0.0% | loss=0.0033 | eps=0.244 | beta=0.784 | stuck=  39.8
Ep  3275/6000 | steps= 3224611 | mean_r=  -9943.5 | success=  4.0% | loss=0.0030 | eps=0.242 | beta=0.787 | stuck=  45.4
Ep  3300/6000 | steps= 3249611 | mean_r=  -7028.0 | success=  0.0% | loss=0.0028 | eps=0.240 | beta=0.790 | stuck=  30.3
Ep  3325/6000 | steps= 3274595 | mean_r= -11615.9 | success=  4.0% | loss=0.0026 | eps=0.238 | beta=0.793 | stuck=  53.7
Ep  3350/6000 | steps= 3299595 | mean_r=  -8009.8 | success=  0.0% | loss=0.0025 | eps=0.236 | beta=0.796 | stuck=  35.2
Ep  3375/6000 | steps= 3324595 | mean_r=  -9091.4 | success=  0.0% | loss=0.0024 | eps=0.234 | beta=0.799 | stuck=  40.7
Ep  3400/6000 | steps= 3349595 | mean_r= -13606.4 | success=  0.0% | loss=0.0023 | eps=0.232 | beta=0.802 | stuck=  63.2
Ep  3425/6000 | steps= 3374595 | mean_r=  -7567.2 | success=  0.0% | loss=0.0022 | eps=0.230 | beta=0.805 | stuck=  33.0
Ep  3450/6000 | steps= 3399595 | mean_r=  -8122.2 | success=  0.0% | loss=0.0022 | eps=0.228 | beta=0.808 | stuck=  35.8
Ep  3475/6000 | steps= 3424595 | mean_r= -14714.4 | success=  0.0% | loss=0.0021 | eps=0.226 | beta=0.811 | stuck=  68.7
Ep  3500/6000 | steps= 3449595 | mean_r=  -7541.5 | success=  0.0% | loss=0.0020 | eps=0.224 | beta=0.814 | stuck=  32.8
Ep  3525/6000 | steps= 3474595 | mean_r=  -4446.9 | success=  0.0% | loss=0.0019 | eps=0.222 | beta=0.817 | stuck=  17.4
Ep  3550/6000 | steps= 3499595 | mean_r=  -5327.4 | success=  0.0% | loss=0.0018 | eps=0.220 | beta=0.820 | stuck=  21.8
Ep  3575/6000 | steps= 3524595 | mean_r=  -4829.5 | success=  0.0% | loss=0.0016 | eps=0.218 | beta=0.823 | stuck=  19.3
Ep  3600/6000 | steps= 3549595 | mean_r=  -2056.8 | success=  0.0% | loss=0.0015 | eps=0.216 | beta=0.826 | stuck=   5.4
Ep  3625/6000 | steps= 3574595 | mean_r=  -3132.0 | success=  0.0% | loss=0.0014 | eps=0.214 | beta=0.829 | stuck=  10.8
Ep  3650/6000 | steps= 3599595 | mean_r=  -5561.3 | success=  0.0% | loss=0.0014 | eps=0.212 | beta=0.832 | stuck=  23.0
Ep  3675/6000 | steps= 3624595 | mean_r=  -4682.0 | success=  0.0% | loss=0.0012 | eps=0.210 | beta=0.835 | stuck=  18.6
Ep  3700/6000 | steps= 3649595 | mean_r=  -3541.2 | success=  0.0% | loss=0.0011 | eps=0.208 | beta=0.838 | stuck=  12.9
Ep  3725/6000 | steps= 3674595 | mean_r=  -4723.2 | success=  0.0% | loss=0.0010 | eps=0.206 | beta=0.841 | stuck=  18.8
Ep  3750/6000 | steps= 3699595 | mean_r=  -4083.7 | success=  0.0% | loss=0.0009 | eps=0.204 | beta=0.844 | stuck=  15.6
Ep  3775/6000 | steps= 3724595 | mean_r=  -2660.0 | success=  0.0% | loss=0.0009 | eps=0.202 | beta=0.847 | stuck=   8.4
Ep  3800/6000 | steps= 3749595 | mean_r=  -2339.1 | success=  0.0% | loss=0.0009 | eps=0.200 | beta=0.850 | stuck=   6.8
Ep  3825/6000 | steps= 3774595 | mean_r=  -3214.9 | success=  0.0% | loss=0.0008 | eps=0.198 | beta=0.853 | stuck=  11.2
Ep  3850/6000 | steps= 3799595 | mean_r=  -6233.0 | success=  0.0% | loss=0.0008 | eps=0.196 | beta=0.856 | stuck=  26.3
Ep  3875/6000 | steps= 3824173 | mean_r=  -6521.8 | success=  4.0% | loss=0.0007 | eps=0.194 | beta=0.859 | stuck=  28.2
Ep  3900/6000 | steps= 3849173 | mean_r=  -2575.0 | success=  0.0% | loss=0.0007 | eps=0.192 | beta=0.862 | stuck=   8.0
Ep  3925/6000 | steps= 3874173 | mean_r=  -3631.1 | success=  0.0% | loss=0.0007 | eps=0.190 | beta=0.865 | stuck=  13.3
Ep  3950/6000 | steps= 3899173 | mean_r=  -1641.3 | success=  0.0% | loss=0.0006 | eps=0.188 | beta=0.868 | stuck=   3.4
  ✓ New best (ema_r=-5045.4) → weights_d3qn.pth
Ep  3975/6000 | steps= 3923884 | mean_r=  -2959.2 | success=  4.0% | loss=0.0006 | eps=0.186 | beta=0.871 | stuck=  10.4
  ✓ New best (ema_r=-4836.8) → weights_d3qn.pth
Ep  4000/6000 | steps= 3948884 | mean_r=  -4754.0 | success=  0.0% | loss=0.0006 | eps=0.184 | beta=0.874 | stuck=  18.9
  ✓ New best (ema_r=-4828.5) → weights_d3qn.pth
Ep  4025/6000 | steps= 3973884 | mean_r=  -2718.0 | success=  0.0% | loss=0.0006 | eps=0.182 | beta=0.877 | stuck=   8.7
  ✓ New best (ema_r=-4617.5) → weights_d3qn.pth
Ep  4050/6000 | steps= 3998884 | mean_r=  -2825.4 | success=  0.0% | loss=0.0005 | eps=0.180 | beta=0.880 | stuck=   9.2
  ✓ New best (ema_r=-4438.2) → weights_d3qn.pth
Ep  4075/6000 | steps= 4023884 | mean_r=  -3490.4 | success=  0.0% | loss=0.0004 | eps=0.178 | beta=0.883 | stuck=  12.6
  ✓ New best (ema_r=-4343.5) → weights_d3qn.pth
Ep  4100/6000 | steps= 4048884 | mean_r=  -3950.0 | success=  0.0% | loss=0.0004 | eps=0.176 | beta=0.886 | stuck=  14.9
  ✓ New best (ema_r=-4304.1) → weights_d3qn.pth
Ep  4125/6000 | steps= 4073884 | mean_r=  -1527.9 | success=  0.0% | loss=0.0005 | eps=0.174 | beta=0.889 | stuck=   2.8
  ✓ New best (ema_r=-4026.5) → weights_d3qn.pth
Ep  4150/6000 | steps= 4098884 | mean_r=  -3376.2 | success=  0.0% | loss=0.0003 | eps=0.172 | beta=0.892 | stuck=  12.0
  ✓ New best (ema_r=-3961.5) → weights_d3qn.pth
